vocablo,hiperonimo
abanico,Aparato
abarrotero,Persona
abasto,Lugar
abatir,Hacer
ablandar,Hacer
abogado,Persona
abombar,Hacer
abono,Boleto
abrazadera,Pieza
abridor,Instrumento
absorbencia,Capacidad
absurdo,Razonamiento
abultamiento,Prominencia
abuso,Acto
abuso,Delito
acahual,Vegetación
acaparador,Persona
acarreo,Impulso
accesión,Derecho
acción,Documento
aceitero,Recipiente
acento,Rasgo
acento,Énfasis
acercar,Hacer
acertar,Lograr
acerácea,Familia
acitrón,Dulce
aclaración,Explicación
aclimatar,Hacer
acogida,Recibimiento
acogido,Persona
acomodar,Lograr
acompañante,Persona
acorralar,Impedir
acortar,Hacer
acotación,Señal
acrecer,Lograr
acróbata,Persona
activación,Acción
activar,Hacer
actividad,Capacidad
acto,Número
actor,Persona
actriz,Mujer
actuario,Persona
actuaría,Disciplina
acuarela,Pintura
acueducto,Conducto
acuerdo,Resolución
acusador,Persona
acusar,Avisar
acólito,Niño
adalid,Persona
adaptabilidad,Capacidad
adaptador,Persona
adepto,Persona
aderezar,Hacer
aderezo,Cosa
adherencia,Fuerza
adherencia,Propiedad
adhesivo,Sustancia
adición,Operación
aditivo,Sustancia
adivinación,Facultad
administración,Lugar
administrador,Persona
admirador,Persona
admitir,Permitir
adolescente,Persona
adormecer,Hacer
adormilar,Hacer
adorno,Cosa
adquisición,Cosa
aducción,Movimiento
adulto,Persona
adverbio,Palabra
advertencia,Aviso
aeropirata,Persona
aerosol,Dispositivo
afanador,Persona
afear,Hacer
afectación,Efecto
aficionar,Hacer
afijo,Morfema
afirmación,Declaración
afirmar,Decir
afluente,Calle
aforo,Cálculo
afrenta,Ofensa
agachado,Persona
agaricácea,Hongo
agencia,Oficina
agente,Persona
agilizar,Hacer
agiotista,Persona
agitador,Persona
agonía,Estado
agostadero,Terreno
agradar,Hacer
agraviado,Persona
agregado,Persona
agriar,Hacer
agricultor,Persona
agronomía,Disciplina
agrónomo,Persona
agua,Loción
aguada,Color
aguafuerte,Impresión
aguamielero,Persona
aguante,Capacidad
aguinaldo,Regalo
agujero,Abertura
agüero,Señal
ahogar,Impedir
ahorcado,Juego
ahualulco,Lengua
ahuyentar,Hacer
aire,Ambiente
aire,Gas
ajedrez,Juego
ajetrear,Hacer
ajustar,Hacer
alambique,Aparato
alambre,Platillo
alargar,Hacer
albumen,Tejido
albur,Apuesta
alcahuete,Persona
alcaide,Hombre
alcancía,Depósito
alcancía,Dinero
alcoholato,Preparación
alcohólico,Persona
alegrar,Hacer
alejar,Hacer
alerta,Expresión
alfarero,Persona
alfarería,Lugar
algodonero,Persona
algodón,Árbol
aliado,Persona
alianza,Unión
aliento,Aire
aliento,Olor
aligerar,Hacer
alineamiento,Línea
alistar,Hacer
almacén,Caja
almendra,Semilla
almohadilla,Cojincillo
almuerzo,Comida
alojamiento,Lugar
alpaca,Tela
alpinismo,Deporte
alpinista,Persona
alquiler,Precio
alquimista,Persona
alrededor,Lugar
alrededor,Lugares
altar,Lugar
alterar,Hacer
alteza,Tratamiento
alto,Hacer
alucinación,Cosa
alumno,Persona
alzado,Caballo
alzado,Persona
amacizar,Hacer
amado,Persona
amago,Acción
amalgamación,Proceso
amante,Cable
amante,Persona
amargo,Licor
amarra,Nudo
amarrar,Impedir
amateur,Persona
amazona,Mujer
ambiente,Comunidad
ambiente,Ánimo
ambiguo,Género
amigo,Palabra
amigote,Amigo
amo,Mujer
amolar,Locuciones
anaerobio,Microorganismo
analgésico,Medicamento
analista,Persona
analítico,Lengua
andrógeno,Hormona
anemómetro,Instrumento
anestesia,Medicamento
anfípodo,Orden
angina,Enfermedad
angiosperma,Clase
anhídrido,Compuesto
anillo,Cornisa
anillo,Imán
anillo,Moldura
animador,Persona
animal,Aquél
animal,Ser
anona,Planta
anotador,Jugador
antecedente,Comportamiento
antecesor,Persona
antecámara,Habitación
anteojos,Armazón
antepecho,Muro
anticipo,Adelanto
anticongelante,Sustancia
anticuerpo,Proteína
antifonal,Libro
antihistamínico,Sustancia
antirreumático,Sustancia
antiséptico,Sustancia
antitetánico,Medicamento
antropología,Ciencia
antropólogo,Persona
antídoto,Sustancia
antólogo,Persona
anular,Impedir
anunciador,Persona
anélido,Fílum
anónimo,Mensaje
apagar,Hacer
apapachar,Hacer
aparecer,Hacer
aparecido,Muerto
aparejo,Equipo
apariencia,Aspecto
apartado,Operación
apenar,Hacer
aperos,Lugar
apiario,Caja
apicultor,Persona
aplacar,Hacer
aplanadora,Máquina
aplauso,Ruido
aplicación,Adorno
aplicado,Persona
apologista,Persona
apoyo,Leche
aprendiz,Persona
apresar,Impedir
apretar,Hacer
apretura,Estrechez
aprobado,Persona
aprobar,"Autorizar,"
aprovechamiento,Ingresos
aptitud,Cualidad
apurar,Hacer
apéndice,Cosa
apéndice,Sección
apócope,Palabra
apóstata,Persona
aquí,Indica
archivista,Persona
archivo,Lugar
arco,Arma
arco,Construcción
arete,Adorno
argumentista,Persona
argumento,Razonamiento
argón,Gas
arista,Filo
arista,Pajilla
arlequín,Persona
armador,Persona
armario,Mueble
armazón,Estructura
armonizar,Hacer
aro,Juego
aro,Objeto
arpón,Instrumento
arqueología,Disciplina
arquero,Persona
arqueólogo,Persona
arquitecto,Persona
arraigo,Fianza
arraigo,Obligación
arrancador,Dispositivo
arrastre,Espacio
arrastre,Molino
arreador,Vaquero
arrear,Hacer
arreglo,Adorno
arrendamiento,Adiestramiento
arrendamiento,Precio
arriar,Dejar
arriero,Persona
